Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,3.591234,-291.9352,25.48879,-1.43626,-4.43653,-0.7868103,3.91458,0.1623649,-6.253254e-05,0.000310435,6.292916e-05,293.04931710804533,5.968735667248642,-32.0,-22.0
1,3.658109,-298.2841,20.00277,0.1884057,-4.73657,-0.8100861,3.889168,0.1638677,-8.182249e-05,0.000290591,5.56918e-05,298.95409449811973,6.181986944869522,-31.0,-22.0
2,3.744372,-311.3204,7.052477,4.920579,-5.275478,-1.044128,3.847462,0.1620796,-0.0001189598,0.0002378544,4.378752e-05,311.4391449154887,6.6124001126907,-30.0,-22.0
3,3.774622,-325.0247,-8.015483,11.18079,-5.637178,-1.489222,3.88865,0.1559936,-0.0001291973,0.0001769828,5.108172e-05,325.31571379636335,7.0083633461363855,-29.0,-22.0
4,3.806537,-337.6698,-22.19993,16.58652,-5.797288,-1.863094,3.999326,0.1516059,-0.0001080577,0.0001323686,7.967808e-05,338.8050226454078,7.285209390405742,-28.0,-22.0
5,3.887165,-347.5518,-34.00063,20.30824,-5.78122,-2.06574,4.090142,0.1495545,-8.479022e-05,0.0001024626,0.0001095592,349.8009736057556,7.376926732465492,-27.0,-22.0
6,4.039704,-354.8508,-43.4262,22.65081,-5.589705,-2.147311,4.150848,0.1498465,-6.823957e-05,8.117753e-05,0.0001316755,358.2149973140936,7.285964976367235,-26.0,-22.0
7,4.249146,-359.7938,-51.12072,23.89419,-5.279243,-2.148358,4.183206,0.1525008,-5.368927e-05,7.102882e-05,0.0001433826,364.19203567282256,7.070011399400217,-25.0,-22.0
8,4.4987,-362.6749,-57.59788,24.34564,-4.944664,-2.075786,4.198285,0.1566102,-4.000665e-05,6.679766e-05,0.0001421375,368.02623419739245,6.81059369893088,-24.0,-22.0
9,4.771722,-364.14,-63.1825,24.2921,-4.651756,-1.955889,4.202007,0.1607678,-2.822671e-05,6.215712e-05,0.0001280016,370.3782850393095,6.566673320023313,-23.0,-22.0
