Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,6.785964,-399.3509,-20.27341,14.37798,-7.474323,17.82392,-1.986619,0.1269932,0.0001028679,-0.0001062163,7.062903e-05,400.1235794010627,19.429469460741586,-32.0,-22.0
1,6.628792,-398.8529,-18.94006,12.2882,-7.539508,17.94167,-1.816041,0.1262308,0.0001087965,-0.0001173245,7.515748e-05,399.4913785933979,19.54598956780252,-31.0,-22.0
2,6.372333,-397.3342,-16.41813,8.633048,-7.679331,18.16114,-1.536597,0.1252468,0.0001189256,-0.0001279425,7.760972e-05,397.76695564124884,19.777771892899615,-30.0,-22.0
3,6.210356,-395.5295,-14.30347,5.648305,-7.840907,18.35194,-1.336047,0.125313,0.0001276702,-0.0001301163,7.483501e-05,395.82834407564087,20.001463594758707,-29.0,-22.0
4,6.101149,-394.1849,-12.40936,2.909132,-8.030865,18.52298,-1.166446,0.1261276,0.000136904,-0.0001351811,7.494136e-05,394.39091096602755,20.22266493317686,-28.0,-22.0
5,6.022525,-393.2565,-10.51751,0.3576285,-8.249506,18.69738,-1.035388,0.1275704,0.0001461042,-0.0001389463,7.761885e-05,393.3972810111861,20.462609716724305,-27.0,-22.0
6,5.970736,-392.6832,-8.817834,-2.096139,-8.47928,18.88988,-0.9531356,0.1295919,0.0001549082,-0.0001405254,8.100526e-05,392.78778437904464,20.727619815231737,-26.0,-22.0
7,5.941327,-392.4394,-7.503084,-4.594717,-8.692942,19.09524,-0.9160097,0.1318001,0.0001636644,-0.0001403353,8.430145e-05,392.5380113647354,21.000821532584343,-25.0,-22.0
8,5.929495,-392.6266,-6.619696,-7.301767,-8.881274,19.32485,-0.9166596,0.1341316,0.0001734852,-0.0001390966,8.92073e-05,392.7502809725471,21.287722287925693,-24.0,-22.0
9,5.934504,-393.5379,-6.021073,-10.53042,-9.050736,19.60832,-0.9468441,0.1368201,0.0001842837,-0.0001359673,9.487683e-05,393.7248046565744,21.61708928403176,-23.0,-22.0
10,5.96465,-395.1582,-5.492356,-14.75271,-9.204619,19.94517,-1.020723,0.1395037,0.0001957788,-0.0001281268,9.851912e-05,395.4716316678288,21.99037727522632,-22.0,-22.0
11,6.034928,-397.1174,-4.954015,-20.35634,-9.344893,20.31299,-1.184535,0.1415468,0.0002097937,-0.0001160072,0.0001012692,397.6696521304785,22.390795231250138,-21.0,-22.0
12,6.157154,-399.0973,-4.534999,-27.46583,-9.472675,20.71595,-1.452304,0.1429274,0.0002259024,-0.0001046364,0.0001059701,400.06698551718677,22.825234784477924,-20.0,-22.0
13,6.339212,-400.7101,-4.337672,-35.88742,-9.579722,21.18272,-1.788795,0.143919,0.0002416337,-9.948024e-05,0.0001149847,402.33730445317394,23.316914198660786,-19.0,-22.0
14,6.5933,-401.651,-4.361344,-45.15173,-9.67243,21.74571,-2.148826,0.1447909,0.0002557168,-0.0001011937,0.0001273804,404.20443570609075,23.896636974421234,-18.0,-22.0
15,6.930888,-401.8847,-4.704887,-54.76344,-9.767889,22.41347,-2.492491,0.1456311,0.0002658591,-0.0001038578,0.0001380893,405.626037646015,24.576163336499498,-17.0,-22.0
16,7.349197,-401.135,-5.465493,-64.29996,-9.862786,23.16207,-2.802843,0.1462984,0.0002680606,-0.0001011525,0.0001472544,406.29256047180417,25.33006046675264,-16.0,-22.0
17,7.841464,-399.0533,-6.501142,-73.27979,-9.942165,23.9951,-3.077368,0.1468863,0.0002622076,-9.177084e-05,0.000158583,405.7779302902491,26.154954840424576,-15.0,-22.0
18,8.397901,-395.6059,-7.44463,-81.27264,-10.0013,24.9362,-3.31792,0.1476189,0.0002521051,-8.280364e-05,0.0001711208,403.9364958049922,27.07117775894503,-14.0,-22.0
19,9.000725,-390.69,-8.011391,-88.04367,-10.04305,25.98051,-3.446677,0.148727,0.0002380436,-8.031923e-05,0.0001822153,400.5677799234779,28.066516269478992,-13.0,-22.0
20,9.63001,-384.0363,-8.183867,-93.36704,-10.0572,27.10729,-3.409893,0.150512,0.000213901,-7.813705e-05,0.0001907103,395.30780355961264,29.113224027159013,-12.0,-22.0
21,10.25717,-375.5507,-7.77569,-97.19559,-10.02661,28.29083,-3.28708,0.153097,0.0001807727,-7.2202e-05,0.0001972814,388.00228393775495,30.19451713651669,-11.0,-22.0
22,10.84841,-365.5636,-6.577449,-99.76981,-9.939536,29.51474,-3.132837,0.1563876,0.000149788,-6.849892e-05,0.0002040498,378.9907960198291,31.30062173234687,-10.0,-22.0
23,11.38913,-354.4912,-4.744678,-101.3475,-9.788945,30.77518,-2.941348,0.1602988,0.0001271039,-6.941857e-05,0.0002113048,368.72461079105324,32.42817719673015,-9.0,-22.0
24,11.88169,-342.6659,-2.482329,-102.1095,-9.571017,32.0608,-2.709966,0.1648618,0.000110193,-7.199056e-05,0.0002182228,357.5645829361799,33.56848490437787,-8.0,-22.0
25,12.33375,-330.3683,0.1602135,-102.1303,-9.280768,33.35784,-2.449176,0.1700837,9.529706e-05,-7.408021e-05,0.0002242519,345.79450182347546,34.71133254737421,-7.0,-22.0
26,12.76715,-317.9237,3.179034,-101.4844,-8.910375,34.6448,-2.163373,0.1760727,8.207091e-05,-7.55683e-05,0.0002277436,333.7434174964701,35.837649649743405,-6.0,-22.0
27,13.20505,-305.7309,6.514924,-100.416,-8.482532,35.88501,-1.853277,0.1828557,6.913866e-05,-7.529882e-05,0.0002271952,321.86518995619235,36.92048113811429,-5.0,-22.0
