Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,4.089327,-343.7912,14.32699,-51.63316,-13.61679,-0.4658667,-2.228703,0.08820485,-3.028063e-06,-0.0001625749,1.24332e-05,347.94199955091034,13.805836401626593,-32.0,-22.0
1,4.390618,-346.1917,14.22652,-53.51297,-13.22696,-0.4499197,-2.214703,0.09515062,-5.665988e-06,-0.0001789737,1.483023e-05,350.59196365350607,13.418636590811195,-31.0,-22.0
2,4.957381,-349.3354,14.0516,-56.93724,-12.50272,-0.4286123,-2.227151,0.1081652,-1.148842e-05,-0.0002106573,1.780581e-05,354.22382536263365,12.7067666020476,-30.0,-22.0
3,5.522646,-351.4904,13.86123,-59.89601,-11.8002,-0.4246178,-2.231986,0.1210497,-1.857968e-05,-0.0002476506,1.95186e-05,356.8265222810561,12.016937289520689,-29.0,-22.0
4,6.160385,-354.3485,13.65723,-62.56214,-10.99473,-0.42707,-2.156936,0.1350995,-2.421486e-05,-0.0002901467,2.193035e-05,360.08804582338263,11.21244172630993,-28.0,-22.0
5,6.881925,-357.2271,13.50924,-65.04123,-10.0646,-0.4264974,-2.02812,0.150204,-2.652715e-05,-0.000330058,2.434173e-05,363.3511554126401,10.275764882801026,-27.0,-22.0
6,7.696236,-359.9604,13.40914,-67.54366,-9.032318,-0.4181806,-1.855734,0.1664816,-2.69705e-05,-0.0003662839,2.638185e-05,366.48798153540474,9.23046001811916,-26.0,-22.0
7,8.607463,-362.3105,13.35529,-70.16407,-7.920529,-0.3975182,-1.637382,0.1838045,-2.597595e-05,-0.0003969757,2.768884e-05,369.2834397860253,8.09776636938213,-25.0,-22.0
8,9.61616,-364.1139,13.36349,-72.92123,-6.760813,-0.3653287,-1.370244,0.2020128,-2.383156e-05,-0.0004190164,2.771714e-05,371.58447333399573,6.9079393526252595,-24.0,-22.0
9,10.71054,-365.3526,13.43629,-75.78052,-5.592476,-0.3272992,-1.055242,0.2207564,-2.132658e-05,-0.0004291603,2.62223e-05,373.370785449524,5.700565608381385,-23.0,-22.0
10,11.86636,-366.0796,13.55946,-78.75779,-4.467289,-0.2878031,-0.6973417,0.2397278,-1.903584e-05,-0.0004227809,2.321434e-05,374.7011101896226,4.530539380741492,-22.0,-22.0
11,13.05819,-366.3865,13.69642,-82.04363,-3.45063,-0.2505025,-0.3134176,0.2588774,-1.668911e-05,-0.0003942219,1.893714e-05,375.70975037473187,3.4738781630039948,-21.0,-22.0
12,14.2751,-366.2387,13.80491,-85.88462,-2.598687,-0.217219,0.06448259,0.2785977,-1.41089e-05,-0.0003433696,1.505682e-05,376.427322162383,2.608546764453938,-20.0,-22.0
13,15.5401,-365.3233,13.86882,-90.34521,-1.909521,-0.1868717,0.403622,0.3001367,-1.166788e-05,-0.0002817238,1.239838e-05,376.5842729868396,1.9606382125690323,-19.0,-22.0
14,16.89214,-363.6311,13.87662,-95.24369,-1.355917,-0.1563689,0.6874185,0.3252212,-9.630396e-06,-0.0002233428,1.062099e-05,376.1535563498643,1.5282363488408657,-18.0,-22.0
15,18.33326,-361.3676,13.78665,-100.3617,-0.9181339,-0.1223399,0.9241734,0.3545495,-7.722616e-06,-0.0001742837,9.68381e-06,375.29866090205076,1.3084469353889672,-17.0,-22.0
16,19.85117,-358.6807,13.60493,-105.5925,-0.5685962,-0.08474513,1.125492,0.3884242,-5.805085e-06,-0.0001353883,8.970752e-06,374.1479850661298,1.2638099611006224,-16.0,-22.0
17,21.43346,-355.7709,13.38487,-110.892,-0.2865355,-0.0478605,1.29786,0.4271229,-4.299684e-06,-0.0001056968,7.851536e-06,372.8929118335811,1.3299751124816208,-15.0,-22.0
18,23.07333,-352.7327,13.15386,-116.2778,-0.0637921,-0.01854408,1.454037,0.4707457,-3.615908e-06,-8.380761e-05,6.124334e-06,371.6367964222994,1.4555538163511703,-14.0,-22.0
19,24.79938,-349.5682,12.92807,-121.8166,0.1025775,-0.001520815,1.601277,0.5200009,-3.783249e-06,-6.745697e-05,4.164874e-06,370.4110493502116,1.6045599044951593,-13.0,-22.0
20,26.67887,-346.1313,12.71697,-127.6418,0.2179141,0.003202033,1.732869,0.576427,-4.204094e-06,-5.188091e-05,2.082065e-06,369.1355134268592,1.7465199051700335,-12.0,-22.0
21,28.8133,-342.1622,12.52456,-133.9578,0.2839857,-0.006640337,1.805336,0.6429622,-4.127452e-06,-3.201881e-05,-8.493455e-07,367.66360697364865,1.8275475492517188,-11.0,-22.0
22,31.27207,-337.4226,12.34694,-140.8208,0.2656527,-0.04168363,1.764336,0.7227012,-4.187507e-06,-5.435399e-06,-5.850742e-06,365.8373349328409,1.7847101733680084,-10.0,-22.0
23,33.91129,-332.0999,12.19779,-147.4637,0.0630198,-0.1193732,1.606792,0.8122036,-5.845524e-06,2.861487e-05,-1.346336e-05,363.5721007978804,1.612452165905792,-9.0,-22.0
24,36.18219,-327.4456,12.1127,-152.3718,-0.4584377,-0.2537863,1.381097,0.8914798,-9.011322e-06,6.997069e-05,-2.185306e-05,361.36477954539237,1.4771599555423847,-8.0,-22.0
25,37.53904,-324.9016,12.205,-154.7244,-1.281598,-0.4396122,1.139415,0.9391115,-1.076623e-05,9.719076e-05,-2.62891e-05,360.0689540392506,1.7703160345593214,-7.0,-22.0
26,37.99859,-325.7647,12.78583,-152.7277,-2.047328,-0.6320619,0.9320187,0.9494425,-6.803089e-06,7.103874e-05,-2.278317e-05,360.0164823479182,2.336602884994645,-6.0,-22.0
27,36.18036,-332.4931,14.52458,-142.0311,-2.435149,-0.7708133,0.8361025,0.8549927,1.222304e-06,4.658632e-06,-1.159875e-05,361.85004952189297,2.6875958003695684,-5.0,-22.0
28,29.47298,-355.9926,18.29122,-109.8337,-2.449002,-0.8053583,0.9362595,0.5695545,1.086863e-05,-5.164033e-05,8.584445e-06,372.9996536721427,2.7427713427705087,-4.0,-22.0
29,20.05437,-398.0278,23.24448,-55.99646,-2.203326,-0.6416539,1.19303,0.2238761,2.408357e-05,-6.981028e-05,2.478131e-05,402.6189749078426,2.5864426865022954,-3.0,-22.0
30,14.36819,-428.8111,26.7559,-17.81628,-1.996169,-0.4319567,1.392837,0.0490171,1.914679e-05,-3.738709e-05,1.841502e-05,430.0142526719997,2.472098739088892,-2.0,-22.0
31,13.21225,-436.216,28.19033,-8.698275,-1.966883,-0.3556255,1.469,0.02382752,3.167632e-06,-4.330028e-06,5.681135e-06,437.21248077963713,2.480536077532284,-1.0,-22.0
